ENSP00000407832	ENSG00000129103	SUMF2
ENSP00000256852	ENSG00000134438	RAX
ENSP00000317357	ENSG00000179055	OR13D1
ENSP00000245138	ENSG00000125107	CNOT1
ENSP00000256858	ENSG00000134444	KIAA1468
ENSP00000317359	ENSG00000128596	CCDC136
ENSP00000421991	ENSG00000124275	MTRR
ENSP00000266754	ENSG00000139354	GAS2L3
ENSP00000437210	ENSG00000162521	RBBP4
ENSP00000437211	ENSG00000086848	ALG9
ENSP00000437212	ENSG00000143207	RFWD2
ENSP00000437213	ENSG00000239457	HLA-DOB
ENSP00000437214	ENSG00000147654	EBAG9
ENSP00000437215	ENSG00000136942	RPL35
ENSP00000437216	ENSG00000142082	SIRT3
ENSP00000437217	ENSG00000144741	SLC25A26
ENSP00000437218	ENSG00000159176	CSRP1
ENSP00000437219	ENSG00000121753	BAI2
ENSP00000449912	ENSG00000165805	C12orf50
ENSP00000449913	ENSG00000135486	HNRNPA1
ENSP00000449910	ENSG00000231044	RDBP
ENSP00000449911	ENSG00000135678	CPM
ENSP00000360578	ENSG00000020256	ZFP64
ENSP00000449917	ENSG00000111596	CNOT2
ENSP00000449914	ENSG00000228405	RNF5
ENSP00000449915	ENSG00000225164	PRRC2A
ENSP00000360575	ENSG00000121310	ECHDC2
ENSP00000360576	ENSG00000188566	NDOR1
ENSP00000360577	ENSG00000121310	ECHDC2
ENSP00000360570	ENSG00000020256	ZFP64
ENSP00000360571	ENSG00000020256	ZFP64
ENSP00000360573	ENSG00000020256	ZFP64
ENSP00000367034	ENSG00000197061	HIST1H4C
ENSP00000367036	ENSG00000125888	BANF2
ENSP00000367037	ENSG00000079385	CEACAM1
ENSP00000367030	ENSG00000107614	TRDMT1
ENSP00000446628	ENSG00000067798	NAV3
ENSP00000367032	ENSG00000182836	PLCXD3
ENSP00000367033	ENSG00000075292	ZNF638
ENSP00000446625	ENSG00000167528	ZNF641
ENSP00000446624	ENSG00000008517	IL32
ENSP00000446627	ENSG00000092841	MYL6
ENSP00000446626	ENSG00000061987	MON2
ENSP00000367038	ENSG00000125844	RRBP1
ENSP00000367039	ENSG00000073584	SMARCE1
ENSP00000446623	ENSG00000166578	IQCD
ENSP00000446622	ENSG00000134291	TMEM106C
ENSP00000394392	ENSG00000064692	SNCAIP
ENSP00000253861	ENSG00000131558	EXOC4
ENSP00000290390	ENSG00000159239	C2orf81
ENSP00000365895	ENSG00000185352	HS6ST3
ENSP00000365896	ENSG00000204613	TRIM10
ENSP00000365897	ENSG00000100987	VSX1
ENSP00000365890	ENSG00000196228	SULT1C3
ENSP00000365891	ENSG00000015285	WAS
ENSP00000290399	ENSG00000159263	SIM2
ENSP00000365898	ENSG00000204612	FOXB2
ENSP00000365899	ENSG00000100987	VSX1
ENSP00000380055	ENSG00000213922	AC011500.2
ENSP00000376683	ENSG00000149577	SIDT2
ENSP00000340542	ENSG00000172283	PRYP4
ENSP00000376682	ENSG00000099204	ABLIM1
ENSP00000316400	ENSG00000160766	GBAP1
ENSP00000407941	ENSG00000135164	DMTF1
ENSP00000407946	ENSG00000230985	CR759747.1
ENSP00000407944	ENSG00000138674	SEC31A
ENSP00000163416	ENSG00000066455	GOLGA5
ENSP00000005340	ENSG00000004975	DVL2
ENSP00000406098	ENSG00000174353	STAG3L3
ENSP00000406099	ENSG00000226710	C6orf48
ENSP00000406096	ENSG00000229496	DDX39B
ENSP00000434746	ENSG00000167861	C17orf28
ENSP00000434745	ENSG00000173039	RELA
ENSP00000406095	ENSG00000157500	APPL1
ENSP00000434743	ENSG00000111907	TPD52L1
ENSP00000434742	ENSG00000137491	SLCO2B1
ENSP00000434741	ENSG00000072952	MRVI1
ENSP00000406091	ENSG00000204580	DDR1
ENSP00000388533	ENSG00000187147	RNF220
ENSP00000388530	ENSG00000048740	CELF2
ENSP00000388531	ENSG00000237102	AC040160.1
ENSP00000388536	ENSG00000095370	SH2D3C
ENSP00000388537	ENSG00000173567	GPR113
ENSP00000388535	ENSG00000135821	GLUL
ENSP00000388538	ENSG00000142192	APP
ENSP00000313158	ENSG00000178175	ZNF366
ENSP00000313159	ENSG00000178974	FBXO34
ENSP00000390539	ENSG00000167325	RRM1
ENSP00000362935	ENSG00000147166	ITGB1BP2
ENSP00000390533	ENSG00000120697	ALG5
ENSP00000390531	ENSG00000053770	MUDENG
ENSP00000390530	ENSG00000106246	PTCD1
ENSP00000390537	ENSG00000122257	RBBP6
ENSP00000390536	ENSG00000116406	EDEM3
ENSP00000390535	ENSG00000184304	PRKD1
ENSP00000398708	ENSG00000176894	PXMP2
ENSP00000398700	ENSG00000226182	LST1
ENSP00000398701	ENSG00000142494	SLC47A1
ENSP00000398702	ENSG00000075711	DLG1
ENSP00000398703	ENSG00000135976	ANKRD36
ENSP00000398704	ENSG00000168779	SHOX2
ENSP00000398705	ENSG00000133027	PEMT
ENSP00000398706	ENSG00000109113	RAB34
ENSP00000398707	ENSG00000105048	TNNT1
ENSP00000435086	ENSG00000110315	RNF141
ENSP00000061240	ENSG00000038295	TLL1
ENSP00000439218	ENSG00000097021	ACOT7
ENSP00000439216	ENSG00000027075	PRKCH
ENSP00000439217	ENSG00000137094	DNAJB5
ENSP00000439214	ENSG00000172379	ARNT2
ENSP00000439215	ENSG00000143761	ARF1
ENSP00000439212	ENSG00000242259	C22orf39
ENSP00000439213	ENSG00000185920	PTCH1
ENSP00000439210	ENSG00000133704	IPO8
ENSP00000439211	ENSG00000213020	ZNF611
ENSP00000324494	ENSG00000134317	GRHL1
ENSP00000324491	ENSG00000147457	CHMP7
