F5H1I8	XRCC6
Q8NDP7	DKFZp547F222
C9JBA0	TRAF3IP3
B3KR83	WBSCR22
I3L2I2	MINK1
H0Y669	ZFP64
Q6ZN08	ZNF66P
Q03936-2	ZNF92
H7C241	LOC100288814
F5GXP5	SPATA21
C9JTA7	FOXN2
H0YNJ3	PPP2R5C
D6RA83	HPGD
C9J887	ARL13B
E7ETE2	HARS
Q8TEM1	NUP210
C9J8F3	ALDOC
H0Y8Z4	ANK3
Q96EF6	FBXO17
B1AMA6	MAPKAP1
A6NMZ7	COL6A6
C9J1I7	POM121L2
O14511-2	NRG2
K7EQM5	SLMO1
I3L3X8	CARHSP1
O14796	SH2D1B
H7BYV9	None
K7ESB4	LINC00675
O96011-2	PEX11B
E9PQ18	None
H3BM69	ISLR2
H0Y773	IGSF23
H7BYT7	CLEC1B
A8MV37	SEC13
Q5T6L7	ASS1
Q9NRJ1	C8orf17
Q8NG57	TCEB3C
Q9H1J5	WNT8A
C9JT21	TSFM
K7EME5	None
D6RIB8	SPDL1
F5H7C3	AIM1L
Q9UQ07-4	MOK
H0Y929	PDLIM5
Q6P995-2	FAM171B
Q76KD6-2	SPATC1
E9PGG8	C2orf65
B8ZZI7	CATSPERG
Q9HBB8	CDHR5
C9JPP3	RBBP4
F5H130	PDE2A
H0YA59	STOX2
Q12996	CSTF3
Q5T5P1	KIAA1217
P81605-2	DCD
Q8IYB7-5	DIS3L2
H3BV95	UBE2Q2
E9PQZ0	CHID1
H7C0P6	MAP4K4
Q5JVH2	PCCA
E5RIC9	GYG2
Q13522	PPP1R1A
J3KTD9	ALDH3A2
F5H1R7	FLJ22184
Q9UMR2-4	DDX19B
Q96JC9	EAF1
E9PFM7	PARP9
Q5VZL5-2	ZMYM4
Q9Y6H1	CHCHD2
G3V3L7	ZFP37
E7EU30	DAZ4
C9JTF6	SLCO1A2
P28749-2	RBL1
B0QYH3	CCDC117
F5H825	PPOX
K7EJP3	ZNF599
O43734-2	TRAF3IP2
C9J3C8	TMEM248
O75365-3	PTP4A3
Q49MI3-3	CERKL
Q5SZL6	TBC1D7
F5H7Y6	RAP1B
H3BSZ5	NEIL1
P15151-3	PVR
A8MZ97	C2orf74
Q3LFD5	USP41
F8WE29	TOM1
Q9C040	TRIM2
P80192-4	MAP3K9
H3BPZ8	PRMT7
Q01196-3	RUNX1
P26639	TARS
E5RI16	FAM49B
P43034	PAFAH1B1
F2Z382	KIF13A
D6RGH7	NMNAT3
J3KRR3	MKS1
K7EM51	HKR1
F8W1P7	SLC11A2
Q6UXS0	CLEC19A
Q5JY02	TRMT11
A6NKF1-2	SAC3D1
F8VZ96	NUAK1
Q2PYN1	RBM14
Q5T2R2-3	PDSS1
E7EPN9	PRRC2C
Q5VW42	ADARB2
Q13402-2	MYO7A
D6RJD0	PAPD7
K7EQ52	ZNF382
Q6PI98-3	INO80C
H3BRA7	DEF8
E9PJL0	CHID1
P49760	CLK2
E5RHD5	PHF14
E9PP93	CD151
H0YE29	ARHGAP1
